VendaID,ClienteID,VeiculoID,DataVenda,VendedorID,Preco,Desconto,PrecoFinal,FormaPagamento
54,522,381,2024-10-29,312,65958,2000,63958,Leasing
55,409,271,2025-02-16,350,51452,5000,46452,Leasing
56,195,396,2024-04-06,309,58530,2000,56530,Financiamento
57,468,665,2024-05-19,302,92836,0,92836,À vista
58,181,441,2024-06-14,338,108756,0,108756,Financiamento
59,295,454,2024-10-18,349,144452,2000,142452,Leasing
60,429,649,2024-04-21,301,137226,2000,135226,Leasing
61,317,650,2025-06-14,319,136648,10000,126648,Leasing
62,591,617,2025-05-26,304,104278,0,104278,À vista
63,225,523,2025-11-16,319,113693,2000,111693,Financiamento
64,113,229,2023-02-23,347,149652,5000,144652,Leasing
65,500,480,2024-04-30,336,114568,15000,99568,Financiamento
66,508,358,2023-05-05,302,51170,2000,49170,Financiamento
67,385,330,2025-12-10,316,128310,15000,113310,Leasing
68,202,540,2023-07-15,337,98739,0,98739,Financiamento
69,172,360,2023-08-24,319,130242,0,130242,Financiamento
70,367,659,2023-06-20,326,104619,2000,102619,Leasing
71,425,428,2024-10-07,314,57681,15000,42681,À vista
72,402,239,2024-03-05,305,128147,5000,123147,À vista
73,402,595,2025-01-27,327,123063,10000,113063,À vista
74,353,244,2023-12-18,324,108120,10000,98120,Leasing
75,559,284,2024-04-07,334,136177,5000,131177,Financiamento
76,505,448,2025-04-27,312,113356,2000,111356,Leasing
77,301,424,2025-02-10,315,97183,15000,82183,Financiamento
78,600,420,2023-05-29,337,59043,10000,49043,Leasing
79,363,671,2023-04-03,330,148836,2000,146836,À vista
80,321,470,2023-11-12,335,63129,15000,48129,Financiamento
81,207,674,2024-06-23,320,59677,5000,54677,Financiamento
82,470,645,2023-12-18,346,138735,0,138735,Leasing
83,308,265,2024-07-23,348,111244,2000,109244,À vista
84,574,505,2024-10-18,302,101783,15000,86783,À vista
85,241,658,2024-07-11,310,87349,15000,72349,Leasing
86,253,673,2023-07-30,313,130416,0,130416,À vista
87,378,238,2024-10-23,345,111228,15000,96228,Financiamento
88,256,508,2023-09-10,326,145802,5000,140802,Financiamento
89,588,344,2023-05-27,336,134117,10000,124117,À vista
90,157,586,2025-02-01,306,145878,2000,143878,Leasing
91,341,574,2023-04-06,326,73020,5000,68020,Financiamento
92,393,680,2025-07-25,335,130127,5000,125127,À vista
93,429,339,2024-05-02,342,75002,15000,60002,À vista
94,112,451,2025-12-23,347,136443,0,136443,À vista
95,433,574,2025-10-04,316,73020,10000,63020,À vista
96,393,491,2025-12-26,326,50206,5000,45206,À vista
97,423,623,2025-02-07,314,61532,2000,59532,Leasing
98,429,390,2024-02-12,308,91705,5000,86705,À vista
99,128,275,2023-03-27,307,100694,10000,90694,Financiamento
100,338,691,2024-01-24,316,111284,10000,101284,Leasing
101,127,209,2024-08-23,312,141717,0,141717,Financiamento
102,165,316,2025-09-05,346,72957,2000,70957,À vista
103,427,461,2024-06-23,346,123604,0,123604,Leasing
104,177,327,2025-07-02,346,123747,2000,121747,À vista
105,174,635,2023-08-05,324,51160,5000,46160,Leasing
106,476,265,2024-04-01,329,111244,10000,101244,Financiamento
107,432,476,2025-02-21,329,137114,0,137114,Leasing
108,329,329,2024-02-13,320,92301,2000,90301,À vista
109,298,411,2024-03-19,309,134025,0,134025,Financiamento
110,419,568,2024-08-14,332,58626,2000,56626,Financiamento
111,118,653,2024-05-21,310,77485,10000,67485,Financiamento
112,504,334,2024-02-14,319,60457,0,60457,Leasing
113,581,528,2023-02-01,304,123893,5000,118893,À vista
114,181,692,2025-08-13,337,88142,10000,78142,À vista
115,186,466,2025-03-25,310,136959,10000,126959,À vista
116,241,453,2023-12-26,333,113729,0,113729,Leasing
117,410,533,2024-07-18,316,130901,10000,120901,À vista
118,420,637,2024-10-22,332,149785,0,149785,Financiamento
119,584,417,2025-01-27,316,77691,0,77691,Leasing
120,287,350,2023-05-22,303,84640,10000,74640,Financiamento
121,489,293,2023-05-08,303,88027,15000,73027,Financiamento
122,436,265,2023-08-29,346,111244,2000,109244,Leasing
123,390,508,2025-09-06,323,145802,15000,130802,Financiamento
124,140,669,2025-05-05,308,107652,15000,92652,Financiamento
125,121,545,2024-08-15,335,105370,15000,90370,Leasing
126,548,495,2024-01-06,335,72572,10000,62572,À vista
127,110,500,2025-12-11,333,84937,15000,69937,Financiamento
128,537,218,2024-08-31,317,125132,2000,123132,Leasing
129,475,500,2024-04-15,302,84937,0,84937,À vista
130,595,304,2024-09-08,338,106062,5000,101062,À vista
131,361,258,2023-12-13,340,88906,0,88906,Financiamento
132,115,325,2023-06-26,340,78136,15000,63136,Financiamento
133,486,278,2023-07-06,331,85461,15000,70461,Financiamento
134,429,225,2025-01-17,305,148862,5000,143862,Financiamento
135,148,617,2023-04-01,334,104278,10000,94278,Leasing
136,579,217,2023-09-18,305,132932,5000,127932,Financiamento
137,269,516,2024-07-17,339,147230,10000,137230,À vista
138,506,220,2023-08-17,322,70061,15000,55061,Financiamento
139,401,625,2025-10-28,327,92254,5000,87254,Leasing
140,301,527,2023-02-25,341,138365,0,138365,Leasing
141,362,599,2024-12-07,321,141187,0,141187,Leasing
142,277,232,2024-10-31,348,74218,10000,64218,Financiamento
143,275,620,2025-06-24,350,90466,15000,75466,À vista
144,492,600,2023-08-01,325,123594,2000,121594,À vista
145,402,325,2026-01-06,305,78136,5000,73136,À vista
146,396,463,2025-09-28,320,87006,2000,85006,Financiamento
147,207,540,2024-12-01,317,98739,0,98739,À vista
148,395,432,2024-05-08,310,57426,0,57426,À vista
149,208,630,2023-11-15,310,74353,10000,64353,Leasing
150,297,234,2024-10-25,330,149724,10000,139724,Leasing
151,566,292,2025-01-26,321,136421,2000,134421,Leasing
152,147,271,2024-09-29,307,51452,0,51452,Leasing
153,316,651,2025-12-12,327,117150,10000,107150,Financiamento
154,476,676,2025-08-30,304,56895,15000,41895,À vista
155,275,284,2023-07-28,306,136177,5000,131177,Leasing
156,385,253,2025-08-30,338,56374,2000,54374,Financiamento
157,278,347,2023-12-01,302,92718,2000,90718,Leasing
158,574,680,2025-08-21,337,130127,2000,128127,À vista
159,390,564,2023-11-09,347,62443,5000,57443,Leasing
160,461,281,2023-04-01,333,147949,15000,132949,À vista
161,355,486,2024-02-02,338,130796,2000,128796,Financiamento
162,358,400,2025-06-06,327,129102,2000,127102,Financiamento
163,140,624,2024-01-28,346,113639,15000,98639,Leasing
164,384,536,2024-09-06,334,75199,0,75199,Financiamento
165,261,360,2024-06-03,306,130242,0,130242,À vista
166,412,233,2024-03-08,312,123597,2000,121597,Financiamento
167,147,585,2025-07-16,315,131053,0,131053,Financiamento
168,359,307,2023-12-28,334,136231,15000,121231,Financiamento
169,399,488,2023-12-28,324,128811,10000,118811,Financiamento
170,117,473,2024-09-19,302,126849,15000,111849,À vista
171,595,365,2023-09-07,331,81998,0,81998,À vista
172,154,477,2025-09-27,303,123546,5000,118546,Leasing
173,448,533,2025-09-27,308,130901,0,130901,Financiamento
174,262,353,2024-06-26,305,80245,15000,65245,Leasing
175,303,473,2024-07-04,332,126849,2000,124849,Financiamento
176,362,268,2023-04-18,322,64086,15000,49086,À vista
177,583,610,2025-07-19,322,64643,5000,59643,À vista
178,495,661,2024-06-20,306,112372,0,112372,À vista
179,162,596,2025-07-23,325,138806,10000,128806,Financiamento
180,426,525,2024-09-12,349,141054,15000,126054,À vista
181,274,558,2024-03-28,342,137432,15000,122432,Financiamento
182,381,687,2024-06-29,339,148451,2000,146451,Leasing
183,105,262,2026-01-11,306,88131,0,88131,À vista
184,232,330,2025-06-26,312,128310,0,128310,À vista
185,348,360,2024-04-01,331,130242,5000,125242,Leasing
186,392,316,2023-07-03,303,72957,10000,62957,Leasing
187,391,215,2023-06-25,302,69128,10000,59128,À vista
188,148,572,2023-02-01,341,118551,5000,113551,Financiamento
189,503,671,2023-04-27,302,148836,5000,143836,Leasing
190,332,403,2023-09-15,314,77787,15000,62787,Financiamento
191,514,392,2023-09-10,338,62349,2000,60349,Leasing
192,440,583,2024-09-20,325,96522,5000,91522,Leasing
193,340,274,2025-11-03,336,93119,15000,78119,Leasing
194,227,514,2025-07-14,320,55437,2000,53437,Leasing
195,414,394,2024-04-15,325,55104,0,55104,À vista
196,471,674,2023-09-11,330,59677,0,59677,À vista
197,473,666,2024-11-25,328,97934,10000,87934,Financiamento
198,482,605,2024-03-24,321,62228,15000,47228,Leasing
199,118,676,2024-06-15,318,56895,0,56895,Leasing
200,248,302,2023-12-17,315,118956,5000,113956,Leasing
201,503,596,2023-12-28,310,138806,10000,128806,À vista
202,175,603,2023-07-23,344,97288,10000,87288,Leasing
203,559,295,2023-03-02,344,78108,5000,73108,Financiamento
204,300,222,2023-05-10,342,107139,5000,102139,Leasing
205,250,351,2025-07-20,316,83180,10000,73180,Financiamento
206,118,585,2025-10-30,304,131053,2000,129053,À vista
207,585,225,2023-06-10,337,148862,15000,133862,Financiamento
208,161,690,2026-01-08,309,55639,5000,50639,À vista
209,389,697,2023-05-25,303,108492,10000,98492,Leasing
210,357,617,2026-01-06,342,104278,0,104278,À vista
211,187,350,2025-10-10,335,84640,10000,74640,À vista
212,417,473,2024-03-25,310,126849,5000,121849,Financiamento
213,375,344,2024-08-12,330,134117,5000,129117,Financiamento
214,386,453,2025-05-20,312,113729,2000,111729,Leasing
215,410,648,2025-11-11,326,104142,0,104142,Leasing
216,360,417,2025-05-28,304,77691,10000,67691,Financiamento
217,207,249,2024-08-02,327,61774,2000,59774,À vista
218,281,467,2026-01-08,338,104768,5000,99768,Leasing
219,146,666,2023-10-06,341,97934,2000,95934,Leasing
220,118,658,2023-05-07,345,87349,10000,77349,À vista
221,503,388,2023-03-11,335,88618,10000,78618,À vista
222,544,416,2023-12-14,316,71944,2000,69944,Leasing
223,241,611,2025-01-25,336,94620,0,94620,Financiamento
224,269,417,2023-10-28,317,77691,10000,67691,Leasing
225,117,413,2025-02-16,336,142921,2000,140921,À vista
226,350,527,2025-09-23,308,138365,0,138365,Leasing
227,573,637,2023-01-30,309,149785,10000,139785,Financiamento
228,240,668,2025-09-14,316,67327,2000,65327,Leasing
229,160,568,2025-06-18,345,58626,0,58626,Leasing
230,429,315,2024-10-19,329,68291,2000,66291,Leasing
231,448,288,2025-07-15,348,54348,15000,39348,Financiamento
232,563,382,2024-04-17,318,149185,2000,147185,Leasing
233,509,308,2024-03-15,304,106279,15000,91279,Leasing
234,153,667,2024-03-02,346,142352,5000,137352,Financiamento
235,470,313,2023-11-13,321,135038,2000,133038,Leasing
236,366,681,2024-10-10,305,132295,2000,130295,Leasing
237,422,488,2024-01-28,303,128811,5000,123811,Financiamento
238,236,623,2023-12-17,302,61532,5000,56532,Financiamento
239,452,671,2025-12-14,332,148836,2000,146836,À vista
240,478,369,2024-02-21,348,86639,2000,84639,Financiamento
241,147,530,2025-04-01,306,137389,0,137389,Financiamento
242,461,215,2023-06-03,304,69128,0,69128,À vista
243,367,593,2024-05-29,347,105191,15000,90191,À vista
244,276,242,2025-08-01,346,110361,10000,100361,Financiamento
245,153,582,2024-11-11,329,92978,15000,77978,Financiamento
246,463,318,2023-01-31,328,114548,10000,104548,Financiamento
247,266,246,2024-09-11,325,119375,5000,114375,Leasing
248,280,511,2025-10-19,334,80859,2000,78859,À vista
249,126,323,2024-04-26,341,100891,2000,98891,Leasing
250,164,652,2024-05-24,320,56452,0,56452,Financiamento
251,147,623,2023-10-14,333,61532,0,61532,Financiamento
252,447,307,2023-12-29,337,136231,5000,131231,À vista
253,392,466,2024-03-03,319,136959,5000,131959,Financiamento
254,180,415,2024-04-24,326,103049,0,103049,À vista
255,551,209,2024-01-27,304,141717,15000,126717,Financiamento
256,303,680,2023-09-23,319,130127,5000,125127,Leasing
257,284,672,2025-08-12,311,132898,2000,130898,À vista
258,435,595,2025-08-20,332,123063,0,123063,Leasing
259,163,565,2025-01-15,330,65642,5000,60642,À vista
260,458,212,2023-05-17,341,51023,2000,49023,À vista
261,467,322,2023-10-15,343,147525,0,147525,Leasing
262,254,654,2024-07-28,337,113028,15000,98028,Leasing
263,212,312,2023-03-21,310,112334,2000,110334,À vista
264,160,567,2024-07-18,337,62678,2000,60678,Financiamento
265,383,297,2024-08-31,317,133877,5000,128877,À vista
266,532,437,2025-07-03,312,97201,15000,82201,À vista
267,540,573,2025-05-27,322,89404,10000,79404,À vista
268,526,413,2024-04-15,308,142921,2000,140921,À vista
269,552,509,2025-02-23,326,74275,10000,64275,À vista
270,277,585,2025-08-17,319,131053,10000,121053,Financiamento
271,544,640,2025-08-06,318,139937,0,139937,Leasing
272,202,242,2025-05-06,324,110361,2000,108361,À vista
273,382,375,2024-05-07,342,67205,2000,65205,Financiamento
274,533,588,2026-01-05,334,69029,2000,67029,Leasing
275,195,680,2023-12-02,336,130127,5000,125127,Leasing
276,336,450,2024-10-04,341,111478,10000,101478,Financiamento
277,474,490,2024-02-02,316,50362,0,50362,Leasing
278,533,428,2023-07-22,336,57681,15000,42681,Financiamento
279,138,277,2023-11-23,324,147938,10000,137938,Leasing
280,584,309,2025-12-18,306,119189,15000,104189,À vista
281,223,353,2024-08-13,330,80245,2000,78245,Leasing
282,144,484,2025-09-19,322,98063,0,98063,Leasing
283,306,219,2025-07-30,304,129168,15000,114168,Leasing
284,599,629,2024-04-11,304,141144,15000,126144,À vista
285,322,525,2023-06-08,348,141054,5000,136054,Financiamento
286,132,660,2025-12-26,326,146004,10000,136004,À vista
287,292,559,2025-11-27,344,97861,0,97861,À vista
288,351,221,2024-05-07,308,51312,0,51312,Financiamento
289,171,666,2025-05-20,333,97934,2000,95934,À vista
290,290,516,2025-08-12,324,147230,10000,137230,À vista
291,151,640,2024-05-08,301,139937,5000,134937,Leasing
292,243,275,2023-10-08,332,100694,2000,98694,Financiamento
293,349,472,2025-12-03,314,75585,2000,73585,Financiamento
294,179,585,2024-10-21,306,131053,5000,126053,À vista
295,380,251,2025-04-09,322,71251,2000,69251,À vista
296,356,486,2024-04-25,327,130796,15000,115796,Leasing
297,243,538,2025-07-23,304,85142,5000,80142,Leasing
298,264,279,2023-06-24,320,72268,5000,67268,Financiamento
299,454,290,2023-01-29,345,121430,0,121430,À vista
300,195,652,2023-01-30,311,56452,15000,41452,Leasing
301,572,201,2025-03-16,309,73677,10000,63677,Financiamento
302,226,371,2025-03-18,309,134473,2000,132473,À vista
303,167,674,2023-07-22,341,59677,2000,57677,Leasing
304,446,678,2023-02-25,318,65010,10000,55010,Leasing
305,182,268,2023-03-15,333,64086,15000,49086,À vista
306,354,474,2023-03-23,316,99350,5000,94350,À vista
307,414,517,2024-03-29,327,145386,15000,130386,Financiamento
308,413,206,2025-01-09,316,92424,5000,87424,Financiamento
309,313,394,2024-07-17,308,55104,0,55104,Leasing
310,325,251,2023-09-10,345,71251,10000,61251,À vista
311,251,524,2024-12-10,335,95380,2000,93380,À vista
312,404,226,2025-01-16,304,119559,2000,117559,À vista
313,546,656,2024-05-04,332,86685,5000,81685,À vista
314,558,516,2025-09-17,302,147230,15000,132230,Leasing
315,496,653,2023-02-08,320,77485,15000,62485,À vista
316,518,637,2023-06-11,303,149785,0,149785,Financiamento
317,468,610,2025-10-16,313,64643,5000,59643,À vista
318,544,216,2023-07-20,311,59204,15000,44204,Leasing
319,221,654,2024-05-10,314,113028,5000,108028,Financiamento
320,415,315,2024-01-16,334,68291,0,68291,À vista
321,567,541,2023-12-25,301,57397,2000,55397,Leasing
322,483,323,2025-03-18,318,100891,5000,95891,Leasing
323,552,360,2025-05-02,348,130242,0,130242,Leasing
324,413,291,2025-04-14,346,112007,5000,107007,Financiamento
325,561,680,2023-08-06,335,130127,10000,120127,Financiamento
326,104,536,2024-02-20,317,75199,10000,65199,Financiamento
327,302,413,2024-04-19,302,142921,0,142921,Leasing
328,351,518,2025-07-27,341,134078,5000,129078,Leasing
329,128,496,2023-02-26,347,50811,0,50811,Financiamento
330,538,207,2025-01-18,308,101175,10000,91175,À vista
331,414,483,2023-03-28,346,147532,15000,132532,Leasing
332,449,638,2023-04-05,344,82432,10000,72432,Leasing
333,371,291,2023-07-21,341,112007,2000,110007,Leasing
334,413,385,2023-11-03,329,77605,15000,62605,Leasing
335,478,503,2023-07-07,348,123950,0,123950,À vista
336,526,468,2025-11-12,335,72702,5000,67702,Leasing
337,582,643,2025-07-05,324,131368,15000,116368,À vista
338,553,697,2025-12-14,337,108492,15000,93492,Leasing
339,531,650,2023-09-24,302,136648,15000,121648,Leasing
340,523,413,2025-06-03,348,142921,5000,137921,Financiamento
341,251,413,2023-12-11,303,142921,15000,127921,À vista
342,272,284,2026-01-06,339,136177,2000,134177,À vista
343,517,575,2024-12-25,325,71222,0,71222,Financiamento
344,162,465,2023-09-16,334,121241,10000,111241,À vista
345,464,492,2024-07-28,320,143677,5000,138677,Financiamento
346,297,570,2024-01-29,323,142854,2000,140854,Financiamento
347,109,205,2024-01-11,335,100585,0,100585,Financiamento
348,237,276,2024-09-01,348,64867,5000,59867,Financiamento
349,177,366,2024-05-05,342,137207,0,137207,Financiamento
350,583,577,2024-05-11,303,114287,5000,109287,Leasing
351,193,265,2025-03-18,319,111244,5000,106244,Leasing
352,449,224,2023-04-03,337,82746,0,82746,Financiamento
353,511,555,2024-08-29,304,86571,15000,71571,Financiamento
354,153,328,2023-01-23,340,101043,15000,86043,Leasing
355,461,558,2025-10-10,346,137432,2000,135432,Financiamento
356,391,282,2023-02-17,301,138839,2000,136839,Financiamento
357,455,360,2025-02-17,346,130242,0,130242,À vista
358,523,620,2025-12-28,324,90466,5000,85466,À vista
359,411,597,2025-03-08,329,57192,5000,52192,Leasing
360,337,649,2025-08-17,308,137226,2000,135226,Leasing
361,407,201,2025-04-26,327,73677,2000,71677,Financiamento
362,466,257,2024-03-30,326,51027,15000,36027,À vista
363,138,386,2023-06-18,318,112240,10000,102240,Financiamento
364,415,672,2024-01-23,336,132898,15000,117898,À vista
365,458,265,2026-01-07,333,111244,15000,96244,À vista
366,125,367,2023-06-25,303,119712,10000,109712,Leasing
367,345,623,2024-07-05,344,61532,0,61532,À vista
368,525,272,2023-11-29,314,86804,2000,84804,Financiamento
369,380,542,2023-10-24,329,50108,2000,48108,Leasing
370,313,474,2025-03-26,314,99350,10000,89350,À vista
371,598,440,2025-03-08,347,132094,10000,122094,Financiamento
372,422,478,2025-09-04,305,121679,15000,106679,Financiamento
373,525,461,2025-10-16,307,123604,5000,118604,Leasing
374,350,619,2023-06-15,342,116276,15000,101276,Leasing
375,226,600,2024-03-07,305,123594,5000,118594,À vista
376,518,639,2025-06-30,317,132614,15000,117614,Financiamento
377,168,649,2023-02-15,331,137226,5000,132226,Leasing
378,581,670,2023-12-02,306,117064,10000,107064,À vista
379,104,619,2024-04-09,311,116276,2000,114276,Leasing
380,451,304,2024-04-23,321,106062,5000,101062,Financiamento
381,581,388,2023-11-14,341,88618,15000,73618,À vista
382,105,285,2023-08-28,308,125538,0,125538,À vista
383,249,441,2024-08-16,302,108756,15000,93756,Financiamento
384,541,580,2025-03-25,341,94560,0,94560,À vista
385,238,437,2023-09-25,335,97201,5000,92201,Financiamento
386,151,571,2023-04-04,312,105260,2000,103260,À vista
387,366,369,2024-05-24,347,86639,15000,71639,À vista
388,478,484,2023-09-17,341,98063,5000,93063,À vista
389,567,264,2025-12-29,316,105381,2000,103381,Leasing
390,165,349,2025-09-10,311,128633,10000,118633,À vista
391,235,464,2025-07-01,316,60030,5000,55030,Leasing
392,236,606,2025-03-26,332,68660,5000,63660,À vista
393,234,615,2023-02-05,326,67301,0,67301,Leasing
394,304,491,2024-07-22,303,50206,2000,48206,Leasing
395,397,442,2025-02-21,340,51164,10000,41164,Leasing
396,481,239,2023-03-18,311,128147,5000,123147,Leasing
397,533,683,2023-09-18,316,146782,5000,141782,Financiamento
398,244,606,2023-09-24,336,68660,10000,58660,Leasing
399,365,540,2024-02-27,334,98739,10000,88739,À vista
400,244,262,2025-07-27,337,88131,10000,78131,Financiamento
401,219,279,2023-03-13,316,72268,15000,57268,Leasing
402,330,436,2024-04-12,314,58948,0,58948,Financiamento
403,429,401,2025-05-15,326,98725,15000,83725,Financiamento
404,231,234,2024-11-01,345,149724,10000,139724,Leasing
405,501,657,2025-12-17,349,139298,10000,129298,Leasing
406,112,555,2024-12-17,335,86571,15000,71571,À vista
407,121,551,2024-12-25,306,87778,15000,72778,À vista
408,252,686,2025-09-28,344,82347,5000,77347,Financiamento
409,181,346,2025-08-04,303,147143,5000,142143,Leasing
410,394,498,2026-01-05,316,55545,5000,50545,Financiamento
411,459,281,2023-03-01,337,147949,0,147949,À vista
412,489,254,2023-02-22,306,60074,2000,58074,Leasing
413,452,307,2024-09-24,333,136231,2000,134231,À vista
414,487,623,2023-02-28,349,61532,15000,46532,À vista
415,159,392,2024-12-11,336,62349,5000,57349,À vista
416,463,618,2023-10-07,338,94985,10000,84985,À vista
417,101,546,2023-02-11,307,103608,5000,98608,À vista
418,428,368,2025-06-25,316,87676,15000,72676,Financiamento
419,348,587,2025-01-22,301,133964,2000,131964,À vista
420,120,626,2025-12-21,320,78878,10000,68878,À vista
421,529,206,2024-03-17,330,92424,15000,77424,Leasing
422,394,639,2023-12-10,321,132614,2000,130614,Financiamento
423,283,528,2024-11-06,338,123893,2000,121893,À vista
424,227,522,2025-07-16,317,50702,15000,35702,Leasing
425,302,201,2023-11-14,306,73677,0,73677,À vista
426,216,370,2025-10-16,320,54727,5000,49727,À vista
427,110,653,2023-05-10,342,77485,5000,72485,À vista
428,473,290,2023-08-17,316,121430,0,121430,À vista
429,169,657,2025-10-21,345,139298,0,139298,Financiamento
430,128,322,2025-04-30,314,147525,5000,142525,Leasing
431,543,677,2023-12-01,336,144347,2000,142347,Financiamento
432,175,549,2025-12-06,335,64390,2000,62390,Financiamento
433,599,346,2023-08-31,341,147143,0,147143,À vista
434,354,303,2024-03-04,309,56845,5000,51845,Leasing
435,419,297,2025-03-12,320,133877,0,133877,Leasing
436,335,409,2025-08-02,326,144125,10000,134125,Financiamento
437,528,375,2024-11-22,349,67205,5000,62205,Leasing
438,554,248,2023-11-14,347,149803,10000,139803,À vista
439,387,570,2025-05-30,301,142854,2000,140854,À vista
440,138,483,2023-10-14,331,147532,10000,137532,À vista
441,236,245,2025-08-23,304,112150,0,112150,À vista
442,184,620,2023-02-09,307,90466,15000,75466,Financiamento
443,241,227,2023-11-27,337,137128,10000,127128,Financiamento
444,377,287,2023-01-23,304,149849,10000,139849,Leasing
445,162,542,2024-08-07,316,50108,2000,48108,Leasing
446,259,442,2025-10-12,335,51164,10000,41164,À vista
447,574,493,2024-03-14,344,140905,10000,130905,À vista
448,393,206,2024-01-15,311,92424,10000,82424,Leasing
449,289,681,2024-09-11,320,132295,5000,127295,À vista
450,434,235,2024-04-06,324,85230,0,85230,Financiamento
451,199,687,2023-07-02,339,148451,0,148451,À vista
452,347,318,2023-10-01,341,114548,0,114548,Financiamento
453,523,356,2023-06-13,317,104364,15000,89364,Leasing
454,419,386,2025-07-01,305,112240,5000,107240,Leasing
455,110,394,2024-04-07,302,55104,2000,53104,Financiamento
456,435,469,2023-11-16,330,58484,0,58484,À vista
457,519,275,2024-04-27,318,100694,5000,95694,Leasing
458,366,688,2025-03-28,331,105430,2000,103430,À vista
459,432,561,2025-10-03,339,120242,15000,105242,À vista
460,355,356,2023-07-22,345,104364,0,104364,Leasing
461,488,266,2024-05-15,309,124960,10000,114960,Financiamento
462,534,366,2023-05-19,333,137207,5000,132207,Financiamento
463,560,529,2023-01-18,321,68695,15000,53695,À vista
464,371,430,2025-01-10,323,69551,10000,59551,Financiamento
465,376,634,2024-10-02,316,109211,15000,94211,Leasing
466,191,493,2024-06-15,330,140905,0,140905,À vista
467,266,474,2025-06-10,325,99350,15000,84350,À vista
468,457,295,2024-05-07,318,78108,2000,76108,Leasing
469,213,533,2025-05-06,303,130901,2000,128901,Financiamento
470,179,556,2025-03-28,319,103330,0,103330,Financiamento
471,249,256,2023-10-08,328,74860,10000,64860,À vista
472,392,564,2023-08-24,345,62443,10000,52443,Leasing
473,513,634,2023-07-14,318,109211,5000,104211,Financiamento
474,498,561,2024-08-17,339,120242,2000,118242,Leasing
475,182,452,2025-05-03,303,89124,0,89124,Financiamento
476,274,584,2025-04-15,350,99425,5000,94425,À vista
477,444,538,2025-02-13,335,85142,15000,70142,À vista
478,195,586,2024-10-25,323,145878,10000,135878,Financiamento
479,148,398,2023-04-07,337,114162,10000,104162,Financiamento
480,250,288,2025-10-30,322,54348,5000,49348,À vista
481,253,417,2025-03-15,307,77691,5000,72691,Leasing
482,122,539,2023-07-15,344,69727,10000,59727,À vista
